Stytting,Pat,Tal,Arn,Dyr,Onu,Isa,Sey,Mjo,Rey,Fas,Sto,Ber
Selá í Álftafirði,-1055,-1063,-1100,-1130,-1155,-1205,230,215,175,173,165,130
Hoffellsá,-955,-963,-1000,-1030,-1055,-1105,330,315,275,273,265,230
Eldvatn í Meðallandi,-825,-833,-870,-900,-925,-975,460,445,405,403,395,360
Kerlingardalsá og Vatnsá,-805,-813,-850,-880,-905,-955,480,465,425,423,415,380
Kúðafljót,-805,-813,-850,-880,-905,-955,480,465,425,423,415,380
Skógá,-755,-763,-800,-830,-855,-905,530,515,475,473,465,430
Rangárnar,-705,-713,-750,-780,-805,-855,580,565,525,523,515,480
Affall,-705,-713,-750,-780,-805,-855,580,565,525,523,515,480
Ölfusá,-677,-685,-722,-752,-777,-827,608,593,553,551,543,508
Þjórsá,-677,-685,-722,-752,-777,-827,608,593,553,551,543,508
Vatnas. Baugstaðaós,-677,-685,-722,-752,-777,-827,608,593,553,551,543,508
Botnsá,-523,-531,-568,-598,-623,-673,762,747,707,705,697,662
Laxá í Leirársveit,-509,-517,-554,-584,-609,-659,776,761,721,719,711,676
Brynjudalsá,-508,-516,-553,-583,-608,-658,777,762,722,720,712,677
Leirvogsá,-508,-516,-553,-583,-608,-658,777,762,722,720,712,677
Laxá í Kjós,-508,-516,-553,-583,-608,-658,777,762,722,720,712,677
Úlfarsá (Korpa),-508,-516,-553,-583,-608,-658,777,762,722,720,712,677
Elliðaár,-508,-516,-553,-583,-608,-658,777,762,722,720,712,677
Hvítá í Borgarfirði,-475,-483,-520,-550,-575,-625,810,795,755,753,745,710
Langá,-475,-483,-520,-550,-575,-625,810,795,755,753,745,710
Álftá,-450,-458,-495,-525,-550,-600,835,820,780,778,770,735
Hítará,-435,-443,-480,-510,-535,-585,850,835,795,793,785,750
Haffjarðará,-419,-427,-464,-494,-519,-569,866,851,811,809,801,766
Straumfjarðará,-409,-417,-454,-484,-509,-559,876,861,821,819,811,776
Vatnsholtsós og vötn,-385,-393,-430,-460,-485,-535,900,885,845,843,835,800
Fróðá,-305,-313,-350,-380,-405,-455,980,965,925,923,915,880
Grísholtsá og Bakká,-276,-284,-321,-351,-376,-426,1009,994,954,952,944,909
Svínafossá,-276,-284,-321,-351,-376,-426,1009,994,954,952,944,909
Setbergsá,-266,-274,-311,-341,-366,-416,1019,1004,964,962,954,919
Laxá á Skógarströnd,-247,-255,-292,-322,-347,-397,1038,1023,983,981,973,938
Dunká,-244,-252,-289,-319,-344,-394,1041,1026,986,984,976,941
Miðá og Tunguá,-236,-244,-281,-311,-336,-386,1049,1034,994,992,984,949
Hörðudalsá,-235,-243,-280,-310,-335,-385,1050,1035,995,993,985,950
Haukadalsá,-233,-241,-278,-308,-333,-383,1052,1037,997,995,987,952
Laxá í Hvammssveit,-220,-228,-265,-295,-320,-370,1065,1050,1010,1008,1000,965
Fáskrúð,-220,-228,-265,-295,-320,-370,1065,1050,1010,1008,1000,965
Laxá í Dölum,-195,-203,-240,-270,-295,-345,1090,1075,1035,1033,1025,990
Glerá í Dölum,-195,-203,-240,-270,-295,-345,1090,1075,1035,1033,1025,990
Flekkudalsá,-187,-195,-232,-262,-287,-337,1098,1083,1043,1041,1033,998
Krossá á Skarðsströnd,-180,-188,-225,-255,-280,-330,1105,1090,1050,1048,1040,1005
Búðardalsá,-155,-163,-200,-230,-255,-305,1130,1115,1075,1073,1065,1030
Hvolsá og Staðarhólsá,-155,-163,-200,-230,-255,-305,1130,1115,1075,1073,1065,1030
Þorskafjarðará,-145,-153,-190,-220,-245,-295,1140,1125,1085,1083,1075,1040
Fjarðarhornsá,-125,-133,-170,-200,-225,-275,1160,1145,1105,1103,1095,1060
Vatnsdalsá í Vatnsfirði,-125,-133,-170,-200,-225,-275,1160,1145,1105,1103,1095,1060
Staðará í Súgandafirði,100,92,55,25,0,-50,-1045,-1060,-1100,-1102,-1110,-1145
Laugardalsá í Ísafjarðardjúpi,167,159,122,92,67,17,-978,-993,-1033,-1035,-1043,-1078
Langadalsá / Hvannadalsá,182,174,137,107,82,32,-963,-978,-1018,-1020,-1028,-1063
Ísafjarðará,199,191,154,124,99,49,-946,-961,-1001,-1003,-1011,-1046
Krossá í Bitru,367,359,322,292,267,217,-778,-793,-833,-835,-843,-878
Víkurá,375,367,330,300,275,225,-770,-785,-825,-827,-835,-870
Hrófá,376,368,331,301,276,226,-769,-784,-824,-826,-834,-869
Víðidalsá í Steingrímsf.,385,377,340,310,285,235,-760,-775,-815,-817,-825,-860
Selá í Steingrímsfirði,395,387,350,320,295,245,-750,-765,-805,-807,-815,-850
Staðará í Steingrímsfirði,395,387,350,320,295,245,-750,-765,-805,-807,-815,-850
Prestbakkaá,395,387,350,320,295,245,-750,-765,-805,-807,-815,-850
Laxá í Hrútafirði,425,417,380,350,325,275,-720,-735,-775,-777,-785,-820
Hvalsá,435,427,390,360,335,285,-710,-725,-765,-767,-775,-810
Hrútafjarðará og Síká,435,427,390,360,335,285,-710,-725,-765,-767,-775,-810
Miðfjarðará,455,447,410,380,355,305,-690,-705,-745,-747,-755,-790
Víðidalsá og Fitjá,485,477,440,410,385,335,-660,-675,-715,-717,-725,-760
Vatnsdalsá,495,487,450,420,395,345,-650,-665,-705,-707,-715,-750
Gljúfurá,495,487,450,420,395,345,-650,-665,-705,-707,-715,-750
Laxá á Ásum,495,487,450,420,395,345,-650,-665,-705,-707,-715,-750
Blanda,500,492,455,425,400,350,-645,-660,-700,-702,-710,-745
Laxá á Skaga,503,495,458,428,403,353,-642,-657,-697,-699,-707,-742
Laxá á Refasveit,503,495,458,428,403,353,-642,-657,-697,-699,-707,-742
Hallá,510,502,465,435,410,360,-635,-650,-690,-692,-700,-735
Fossá á Skaga,565,557,520,490,465,415,-580,-595,-635,-637,-645,-680
Héraðsvötn,604,596,559,529,504,454,-541,-556,-596,-598,-606,-641
Flókadalsá í Fljótum,655,647,610,580,555,505,-490,-505,-545,-547,-555,-590
Fljótaá,655,647,610,580,555,505,-490,-505,-545,-547,-555,-590
Fnjóská,715,707,670,640,615,565,-430,-445,-485,-487,-495,-530
Skjálfandafljót,833,825,788,758,733,683,-312,-327,-367,-369,-377,-412
Laxá í Aðaldal,835,827,790,760,735,685,-310,-325,-365,-367,-375,-410
Ormarsá,870,862,825,795,770,720,-275,-290,-330,-332,-340,-375
Sandá,895,887,850,820,795,745,-250,-265,-305,-307,-315,-350
Deildará,895,887,850,820,795,745,-250,-265,-305,-307,-315,-350
Svalbarðsá,895,887,850,820,795,745,-250,-265,-305,-307,-315,-350
Hölkná,905,897,860,830,805,755,-240,-255,-295,-297,-305,-340
Hafralónsá og Kverká,905,897,860,830,805,755,-240,-255,-295,-297,-305,-340
Miðjarðará við Bakkafj.,995,987,950,920,895,845,-150,-165,-205,-207,-215,-250
Selá í Vopnafirði,1045,1037,1000,970,945,895,-100,-115,-155,-157,-165,-200
Vesturdalsá,1049,1041,1004,974,949,899,-96,-111,-151,-153,-161,-196
Hofsá og Sunnudalsá,1050,1042,1005,975,950,900,-95,-110,-150,-152,-160,-195
Fögruhlíðará,1055,1047,1010,980,955,905,-90,-105,-145,-147,-155,-190
Jökulsá á Dal,1080,1072,1035,1005,980,930,-65,-80,-120,-122,-130,-165
Lagarfljót,1080,1072,1035,1005,980,930,-65,-80,-120,-122,-130,-165
Selfljót og Gilsá,1095,1087,1050,1020,995,945,-50,-65,-105,-107,-115,-150
Breiðdalsá,-1195,-1203,1190,1160,1135,1085,90,75,35,33,25,-10
